name,steps,photos
Easy Tiramisu (Raw-Egg-Free) Recipe,"This is by no means ""authentic"" tiramisu in that it has no raw eggs, but it's just as tasty!

**Easy Tiramisu Recipe (no raw eggs!)**

**Ingredients:**

* About 1.5 packages worth of lady fingers (I got mine at an Italian market, ran out, and then had my husband run out to get more at Whole Foods - he got the store-brand, which is also imported from Italy). Make sure these are the HARD lady fingers, NOT the soft ones!
* 2 C strong coffee/espresso
* 9 Tbsp rum or marsala wine (you can half this for a less pronounced alcoholic flavor; I thought this was just right :)
* 1 C heavy cream
* 1-1.5 lb mascarpone
* 2/3 C sugar, divided
* 1 tsp vanilla extract
* 2-3 Tbsp cocoa powder
* Handful of chopped chocolate/chocolate shavings (optional)

**Method:**

1. **Prepare coffee/alcohol for dipping:** Combine coffee in a wide, shallow bowl, and combine with about 5 Tbsp of the rum. Set side.
2. **Prepare mascarpone/cream mixture:** Whip heavy cream with 1/3 C sugar, 1 tsp vanilla extract, and 2 Tbsp rum, until you have soft peaks. Then, slowly fold in the mascarpone along with the other 1/3 C sugar and 2 Tbsp rum. Whip altogether until nice and fluffy. Set aside.
3. **Prepare tiramisu layers:** Dip each side of a lady finger into the coffee/rum mixture for no more than 1-2 seconds per side (DO NOT DIP TOO LONG; This is the biggest mistake in making tiramisu. NO SOGGINESS!). Then, carefully lay in a pan (8x5 in), making sure all the ladyfingers are lined up side by side; trim if needed to fix snuggly into pan. Then, add a generous, even layer of the mascarpone/cream mixture on top of the ladyfingers, smoothing them out on the edges with a spatula. Dust with some cocoa powder with a colander/sieve. Repeat the ladyfinger layer with the final mascarpone layer, and dust the top with cocoa powder and chocolate shavings if using.
4. **Refrigerate tiramisu** for at least 6 hours to allow it to set, and allowing the lady fingers to soften well. Cut with a clean knife, wiping off between slices for the cleanest edges, and enjoy!","[""https://plus.unsplash.com/premium_photo-1673439307…ufDB8fHx8fA%3D%3D&auto=format&fit=crop&w=774&q=80""]"
Classic Creme Brulee at home with only 4 ingredients! Why isn't everyone making this?,"

One of my favorite at home dessert recipes! Enjoy. You can also watch my fun step-by-step video here [https://youtu.be/9pB0X-ibfqM](https://youtu.be/9pB0X-ibfqM) if your into that sort of thing.

**Creme Brulee**

Serves 2-4

Ingredients:

3 egg yolks

1 Cup heavy cream

2 Tablespoons sugar + 1 teaspoon for bruleeing

1/2 teaspoon vanilla

**How To:**

* In a heatproof bowl combine egg yolks and sugar, whisk vigorously for 2-5 minutes until color turns a pale yellow.
* add vanilla
* In a small saucepot heat the cream until it just comes to a boil and remove from heat.
* Slowly a few tablespoons at a time, whisk hot cream into egg yolk mixture to *temper* the eggs.
* Once all the cream in incorporated place heatproof bowl on top of a double boiler (small pan with about an inch of water brought to a boil) \*Make sure the water doesnt touch the bottom of the bowl or it will get too hot.
* Stir with a spatula for 5 minutes or until the mixture thickens to coat the back of a spoon.
* remove from heat and add to your ramekins.
* Place ramekins in a high sided brownie pan or casserole dish and place in the middle of a 325 degree oven.
* Pour hot water into the brownie pan, making sure not to get any in the ramekins. Water should come half way up the sides of the ramekins.
* Bake for 30 minutes or until set, but still a little wobbly.
* Let cool for 2 hours minimum.
* Sugar the top and dump off any excess, torch until crispy and golden amber, or place under the broiler set to high.
* Enjoy!

\*The sugar for bruleeing works better if it is *sugar in the raw,* granulated sugar burns too fast and wont form a good crust.","[""https://plus.unsplash.com/premium_photo-1673439307…ufDB8fHx8fA%3D%3D&auto=format&fit=crop&w=774&q=80""]"
Vanilla-shallot butter poached monkfish,"Purchased monkfish for a hotpot, but my fishmonger recommended I try out this instead! Monkfish has a meaty texture and tastes similar to lobster. The vanilla really enhanced the flavors; the poaching liquid was based on a [Langouste à la Vanille recipe](https://www.saveur.com/lobster-vanilla-sauce-recipe/)

**Ingredients**

- monkfish filet, membrane removed (3/4lb)
- unsalted butter, cut into Tbsp slices (2 sticks)
- shallot, roughly minced (1)
- white wine (1/4-1/2 cup)
- vanilla extract (2 tsp)

**Directions**

1. Prepare all your ingredients, remove the membrane on the monkfish if still attached (not necessary but I find it can be tough cooked)

2. Heat 1-2 Tbsp water in a nonstick skillet on medium heat until sizzling

3. Add butter to the hot skillet several Tbsp at a time, when melted add in shallot, white wine, and vanilla, bring to a low simmer

4. Add monkfish filet to your poaching liquid

5. Spooning liquid over the filet, poach for 3-5 minutes per side, flipping once (depends on your thickness). Alternately if you have a thermometer, cook to 140-150

6. Serve &amp; spoon excess poaching liquid over fish &amp; whatever sides you prefer","[""https://plus.unsplash.com/premium_photo-1673439307…ufDB8fHx8fA%3D%3D&auto=format&fit=crop&w=774&q=80""]"
Italian Meatballs," Ingredients:

1. Ground beef (1.8 lb / 800 g)

2. Cottage cheese (0.4 lb / 200 g)

3. Italian bread crumbs (1/2 cup)

4. Parsley

5. Lemon zest (from one lemon)

6. Cheese (0.05 lb / 25 g)

7. Egg (1 piece)

8. Onion (1 medium onion)

9. Garlic (2 cloves)

10. Basil (1 tsp)

11. Canned tomatoes (1 can)

12. Balsamic vinegar (2 tbsp)

13. Broth (4 oz / 120 g)

14. Salt

Cooking method (video recipe is [here](https://www.youtube.com/watch?v=IaZ9El4XdQg)):

1.Miix the ground beef, cottage cheese, bread crumbs, salt, parsley, lemon zest, cheese, egg and knead

2. Fry the onion, garlic and basil for 3 minutes

3. Combine the mixture with minced meat and knead

4. Form meatballs

5. Fry for 3 minutes on each side

6. Mix canned tomatoes, broth and balsamic vinegar and after boiling put meatballs

7. Close and fry for 15 minutes

8. Delicious italian meatballs are ready!","[""https://plus.unsplash.com/premium_photo-1673439307…ufDB8fHx8fA%3D%3D&auto=format&fit=crop&w=774&q=80""]"
"Red Lentils and Spinach Lasagna, what do you think?","\*\*Spinach Lasagna\*\*:

\*\*Ingredients\*\*:

 \* 1 Pack (Instant) Lasagna Pasta

 \* 1 Pack Frozen Spinach

 \* (optional) red lentils

 \* 200ml Soy cream

 \* Tomato Sauce

 \* 150g Shredded Mozzarella Cheese

 \* 1/2 Onion

 \* Chopped Garlic Clove

Cooking Instructions:

1. **Start with the sauce**: in this recipe I like to use a combination of red lentils and tomato sauce
2. **Make the white cream**: in a pan fry the chopped onion and garlic, in a bit of Olive oil for about 2 minutes. Then pour the soy cream and let it steer for around 8-10minutes.
3. **Grab the lasagna pasta**: follow the instruction on the pasta box for having it ready.
4. **Layer it u**p: Start with a little sauce in the bottom of the pan to ensure your noodles dont stick to the bottom, then top with noodles, cream, and sauce and then repeat. Dump allllll of that extra mozzarella on the top for good measure!
5. **Cover and bak**e: Covering the lasagna with foil to bake ensures that the moisture stays inside and cooks the noodles. We will uncover once we add the cheese and let it sit at room temperature for some time before slicing to help it set well.

Enjoy!","[""https://plus.unsplash.com/premium_photo-1673439307…ufDB8fHx8fA%3D%3D&auto=format&fit=crop&w=774&q=80""]"
Soft and Chewy Snickerdoodle Cookie Bars," **Ingredients**

* Nonstick cooking spray
* 2 sticks (1 cup) unsalted butter, at room temperature
* 1 cup granulated sugar
* 3/4 cup packed light brown sugar
* 2 large eggs
* 1 1/2 teaspoons vanilla extract
* 2 1/2 cups all-purpose flour
* 1 teaspoon baking powder
* 3/4 teaspoon salt

**Cinnamon Mixture**

* 1/4 cup granulated sugar
* 3 teaspoons ground cinnamon

**Glaze**

* 1 cup powdered sugar
* 2 tablespoons milk
* 1/4 teaspoon vanilla

**Steps**

1. Heat oven to 350° F. Spray bottom of a 13x9-inch baking pan with cooking spray. In bowl, combine flour, baking powder, and salt, set aside.
2. In large bowl, beat butter with both sugars until creamy. Gradually beat in eggs and vanilla into sugar mixture until combined. On low speed, slowly mix in dry ingredients until combined.
3. Spoon half the batter into pan and spread evenly. Sprinkle cinnamon-sugar mixture evenly over batter.
4. Dollop teaspoon size amounts of remaining batter evenly over cinnamon-sugar mixture.
5. Bake 25 minutes or until golden brown. Cool completely.
6. In small bowl, stir glaze ingredients until smooth and thin. Drizzle over bars. Cut bars into 6x4 rows.

If you'd like to watch me make these bars, you can watch it [here](https://youtu.be/KIVhPdvEgk8)!","[""https://plus.unsplash.com/premium_photo-1673439307…ufDB8fHx8fA%3D%3D&auto=format&fit=crop&w=774&q=80""]"
Thai Holy Basil Chicken Stir-Fry with a Crispy Fried Egg (Pad Krapow),"
Cook Time: 10 mins

Servings: 1

###### EQUIPMENT

- Wok or Large Frying Pan

###### INGREDIENTS

"" 150g chicken thigh, cut into chunks

"" 2 tbs veg oil 


###### INSTRUCTIONS 

- Marinate the chicken in oyster sauce for at least 30 mins - this will help tenderise the meat.
- Pound chillies and garlic into a coarse paste using a mortar and pestle. If you dont have a mortar and pestle, finely chopping each is fine. 
- In a hot wok or large frying pan, add veg oil and then chicken, stir fry over high heat for about 4 minutes until chicken is about 80% cooked through.
- Add chillies and garlic, stir fry for 1 min 


","[""https://plus.unsplash.com/premium_photo-1673439307…ufDB8fHx8fA%3D%3D&auto=format&fit=crop&w=774&q=80""]"
Almond Sandies,"Ingredients

* 1 cup (240ml) all-purpose flour
* 1 cup (240ml) sliced almonds
* 1 stick (120ml) room temperature butter
* 1/2 cup (120ml) brown sugar
* 1 1/2 teaspoon (7.5ml) almond extract
* 1/4 teaspoon (1ml) salt

Directions

1. Preheat oven to 350°F (175°C).
2. Combine all ingredients together in a mixing bowl.
3. Mix with a hand mixer until a solid dough forms and the almonds are broken up.
4. Roll into approximately 9 equal sized balls (smaller if you want smaller cookies) and place on a baking sheet lined with parchment paper.
5. Flatten all the balls slightly until they're roughly 1cm thick.
6. Bake for 15 minutes.
7. Allow to cool and dust with powdered sugar or serve as is.

Source: [here's a link to the blog post](https://justthedarnrecipe.com/almond-sandies) if you're interested in that.","[""https://plus.unsplash.com/premium_photo-1673439307…ufDB8fHx8fA%3D%3D&auto=format&fit=crop&w=774&q=80""]"
Folded Sushi - Alaska Roll,"Craving for some sushi but don't have a sushi roller? Try this easy version instead. It's super easy yet equally delicious!

[Video Recipe](https://www.youtube.com/watch?v=1LJPS1lOHSM)

# Ingredients

Serving Size:  \~5 sandwiches

* 1 cup of sushi rice
* 3/4 cups + 2 1/2 tbsp of water
* A small piece of konbu (kelp)
* 2 tbsp of rice vinegar
* 1 tbsp of sugar
* 1 tsp of salt
* 2 avocado
* 6 imitation crab sticks
* 2 tbsp of Japanese mayo
* 1/2 lb of salmon

# Recipe

* Place 1 cup of sushi rice into a mixing bowl and wash the rice at least 2 times or until the water becomes clear. Then transfer the rice into the rice cooker and add a small piece of kelp along with 3/4 cups plus 2 1/2 tbsp of water. Cook according to your rice cookers instruction.
* Combine 2 tbsp rice vinegar, 1 tbsp sugar, and 1 tsp salt in a medium bowl. Mix until everything is well combined.
* After the rice is cooked, remove the kelp and immediately scoop all the rice into the medium bowl with the vinegar and mix it well using the rice spatula. Make sure to use the cut motion to mix the rice to avoid mashing them. After thats done, cover it with a kitchen towel and let it cool down to room temperature.
* Cut the top of 1 avocado, then slice into the center of the avocado and rotate it along your knife. Then take each half of the avocado and twist. Afterward, take the side with the pit and carefully chop into the pit and twist to remove it. Then, using your hand, remove the peel. Repeat these steps with the other avocado. Dont forget to clean up your work station to give yourself more space. Then, place each half of the avocado facing down and thinly slice them. Once theyre sliced, slowly spread them out. Once thats done, set it aside.
* Remove the wrapper from each crab stick. Then, using your hand, peel the crab sticks vertically to get strings of crab sticks. Once all the crab sticks are peeled, rotate them sideways and chop them into small pieces, then place them in a bowl along with 2 tbsp of Japanese mayo and mix until everything is well mixed.
* Place a sharp knife at an angle and thinly slice against the grain. The thickness of the cut depends on your preference. Just make sure that all the pieces are similar in thickness.
* Grab a piece of seaweed wrap. Using a kitchen scissor, start cutting at the halfway point of seaweed wrap and cut until youre a little bit past the center of the piece. Rotate the piece vertically and start building. Dip your hand in some water to help with the sushi rice. Take a handful of sushi rice and spread it around the upper left hand quadrant of the seaweed wrap. Then carefully place a couple slices of salmon on the top right quadrant. Then place a couple slices of avocado on the bottom right quadrant. And finish it off with a couple of tsp of crab salad on the bottom left quadrant. Then, fold the top right quadrant into the bottom right quadrant, then continue by folding it into the bottom left quadrant. Well finish off the folding by folding the top left quadrant onto the rest of the sandwich. Afterward, place a piece of plastic wrap on top, cut it half, add a couple pieces of ginger and wasabi, and there you have it.","[""https://plus.unsplash.com/premium_photo-1673439307…ufDB8fHx8fA%3D%3D&auto=format&fit=crop&w=774&q=80""]"
Cabbage soup,"Ingredients:

1. Onion (1/2 onion)
2. Garlic (2 cloves)
3. Grated ginger (1 tsp)
4. Celery (3 stalks)
5. Cabbage (1/2 kacana)
6. Chicken broth (5 cups)
7. Frozen spinach (0.6lb / 300g), can be replaced with fresh
8. Parsley (1/2 cup)
9. Paprika (1/2 tsp)
10. Boiled chicken (1 cup), optional
11. Olive oil
12. Salt

Cooking method:

1. Fry onion, garlic, ginger in olive oil until the onion is soft (2-3 minutes)
2. Add celery, fry for 1 minute, add salt and cabbage, fry for another 2 minutes
3. Add broth, spinach and cook for one minute after boiling
4. Add parsley, paprika and chicken (optional) and cook for another 1 minute

You can see how I made this soup [here](https://www.youtube.com/watch?v=klvuqjAWvXg)","[""https://plus.unsplash.com/premium_photo-1673439307…ufDB8fHx8fA%3D%3D&auto=format&fit=crop&w=774&q=80""]"
