name,photo,review_count,description,rating,latitude,longitude,transactions,price,address,city,zip,country,state,phone,yelp_id
Bottega Louie,https://s3-media1.fl.yelpcdn.com/bphoto/rAImnKvUNcNY8i6qEDWrZA/o.jpg,18264,Italian,4,34.047056,-118.256544,"[""delivery""]",$$,700 S Grand Ave,Los Angeles,90017,US,CA,+12138021470,TkFEKhsCixPWlShULKvMdQ
Bestia,https://s3-media2.fl.yelpcdn.com/bphoto/qourX-TmOyNBEQZxDqAwUA/o.jpg,7376,Italian,4.5,34.03402,-118.22919,"[""delivery""]",$$$,2121 E 7th Pl,Los Angeles,90021,US,CA,+12135145724,fEY0zHaDMfIW3-N__joDKQ
L'Antica Pizzeria Da Michele,https://s3-media2.fl.yelpcdn.com/bphoto/SCuuHjFSwNpuYxpncVDs9w/o.jpg,1839,Italian,4.5,34.09906083,-118.3373107,"[""pickup""]",$$$,1534 N Mccadden Pl,Los Angeles,90028,US,CA,+13233662408,88kri8FhXy8b3DQ_QjSMmQ
Pasta Sisters,https://s3-media2.fl.yelpcdn.com/bphoto/EPQ4QG9mbRqvon1ZO5u16Q/o.jpg,1952,Italian,4.5,34.0476,-118.317234,"[""pickup""]",$$,3343 W Pico Blvd,Los Angeles,90019,US,CA,+13238705271,AIhWsp8yNfKZfaX9d9Yajg
DeSano Pizza Bakery,https://s3-media2.fl.yelpcdn.com/bphoto/uPUePX2lRk6fkAObl37X9w/o.jpg,1668,Italian,4.5,34.09100997,-118.2977629,"[""pickup""]",$$,4959 Santa Monica Blvd,Los Angeles,90029,US,CA,+13239137000,fD4ntpbf92ufSHn5tSmSxA
Bacari W 3rd,https://s3-media1.fl.yelpcdn.com/bphoto/M_LLLThdYRdoW_mRAk5uNw/o.jpg,1017,Italian,4.5,34.07172,-118.36485,"[""pickup""]",$$,8030 3/4 W 3rd St,Los Angeles,90048,US,CA,+12139332327,y2eWXL2qbTW8tXyrEsfEqQ
Osteria La Buca,https://s3-media3.fl.yelpcdn.com/bphoto/xeVaSq6kS6WuT3OFj7yPJg/o.jpg,2219,Italian,4,34.08333668,-118.3139372,"[""pickup""]",$$$,5210 Melrose Ave,Los Angeles,90038,US,CA,+13234621900,GKQApReu8U9hip4A2ApJ_A
Concerto,https://s3-media1.fl.yelpcdn.com/bphoto/W0PtAkmnwrk0wf7bcwOoDA/o.jpg,1394,Italian,4,34.063071,-118.306414,"[""delivery""]",$$,610 S Serrano Ave,Los Angeles,90005,US,CA,+12137380909,IMoMSsC3oDqcNZCQXyo8iQ
Maccheroni Republic,https://s3-media4.fl.yelpcdn.com/bphoto/I-4SnHvaWothASzVaMhVYw/o.jpg,3806,Italian,4.5,34.05002828,-118.248528,"[""delivery""]",$$,332 S Broadway,Los Angeles,90013,US,CA,+12133469725,gd6PYDx-leOM97a3MWoO1g
Osteria Mozza,https://s3-media4.fl.yelpcdn.com/bphoto/TePk-GCTvpCaztilF5eIPg/o.jpg,3207,Italian,4,34.08319,-118.33881,"[""delivery""]",$$$$,6602 Melrose Ave,Los Angeles,90038,US,CA,+13232970100,YoQn8MtOimQbqi839TmeZw
Met Him At A Bar,https://s3-media3.fl.yelpcdn.com/bphoto/hKkhb5t7RN8oRUIkVbrooA/o.jpg,606,Italian,4.5,34.060415,-118.345018,"[""pickup""]",$$,801 S La Brea,Los Angeles,90036,US,CA,+13238523321,HuQtriV_ApipXfM8xax33w
Angelini Osteria,https://s3-media2.fl.yelpcdn.com/bphoto/1Mh9UEn1H74pTCsfD5h7bg/o.jpg,2112,Italian,4,34.07642,-118.34909,"[""delivery""]",$$$,7313 Beverly Blvd,Los Angeles,90036,US,CA,+13232970070,P9Dt_kkU5BTe1v0tJ4KFNw
Osteria Mamma,https://s3-media2.fl.yelpcdn.com/bphoto/BCT1NUTlwCan0KTW1JmRIw/o.jpg,1899,Italian,4,34.08335868,-118.3247249,"[""delivery""]",$$,5732 Melrose Ave,Los Angeles,90038,US,CA,+13232847060,rr-hXB0ZqXLzUP97yftp0g
DRAGO Centro,https://s3-media3.fl.yelpcdn.com/bphoto/ixTzcjnVmLDcsRd58gqx_g/o.jpg,1651,Italian,4,34.0514,-118.257504,"[""delivery""]",$$$,525 S Flower St,Los Angeles,90071,US,CA,+12132288998,p78nnAZrr2JxVNqggm0JSQ
The Factory Kitchen,https://s3-media3.fl.yelpcdn.com/bphoto/ltWypC3lOuC0bzm_R0hm4A/o.jpg,1524,Italian,4,34.038867,-118.23602,"[""pickup""]",$$$,1300 Factory Pl,Los Angeles,90013,US,CA,+12139966000,cK9wMWnQEW9MdYjc-YWueg
Rossoblu,https://s3-media4.fl.yelpcdn.com/bphoto/p6WDqs5IKF_VoMTp4Sp9gQ/o.jpg,811,Italian,4,34.034918,-118.253338,"[""delivery""]",$$$,1124 San Julian St,Los Angeles,90015,US,CA,+12137491099,YYKK5pDAWQimcHzOz-7nug
Bacari W. Adams,https://s3-media3.fl.yelpcdn.com/bphoto/UeTHi6rTg2tIP8h-NeZiKA/o.jpg,1744,Italian,4,34.03447,-118.28341,"[""pickup""]",$$,2308 S Union Ave,Los Angeles,90007,US,CA,+12134591899,8polKN4I6fJx1t8pPxogVw
Mother Wolf,https://s3-media2.fl.yelpcdn.com/bphoto/1k4_YK7OrFgHcaMVuaAL3g/o.jpg,530,Italian,4,34.09932,-118.33115,,$$$$,1545 Wilcox Ave,Los Angeles,90028,US,CA,+13234106060,V_t4QBPg-eC9-rpD1TRYQg
Jon & Vinny's Fairfax,https://s3-media3.fl.yelpcdn.com/bphoto/OQwbl36bvmwL4ph2glu1dw/o.jpg,2362,Italian,4,34.0786401,-118.3613451,"[""delivery""]",$$,412 N Fairfax Ave,Los Angeles,90036,US,CA,+13233343369,sPw1o5OYWE5C2JtbTXp5wg
Cento,https://s3-media4.fl.yelpcdn.com/bphoto/oB3A5Y1vr6ZajHEcYXj5vw/o.jpg,565,Italian,4.5,34.0327954,-118.3477496,"[""delivery""]",$$,4921 W Adams Blvd,Los Angeles,90016,US,CA,+13239980404,mogBbg16id_H0pw_YQ3YbA
La Pergoletta,https://s3-media3.fl.yelpcdn.com/bphoto/G1XjeBOpUByZsPHFFiNFgQ/o.jpg,1276,Italian,4.5,34.1037812,-118.2872479,"[""pickup""]",$$,1802 Hillhurst Ave,Los Angeles,90027,US,CA,+13236648259,-KqNRM-drDM7Nu9i9xEnfA
Supremo,https://s3-media2.fl.yelpcdn.com/bphoto/AC6E0vKB18sDw11ZTHAjpg/o.jpg,337,Italian,4.5,34.05867,-118.34578,"[""pickup""]",$$,901 S La Brea Ave,Los Angeles,90036,US,CA,+13238523192,RarITW4zBvhqKAK8FVOFCQ
Della Terra Restaurant,https://s3-media1.fl.yelpcdn.com/bphoto/Np31-r1QgAHxf-dj-LyjbA/o.jpg,852,Italian,4,34.0762749,-118.3571066,"[""pickup""]",$$,7675 Beverly Blvd,Los Angeles,90036,US,CA,+13239337675,YTTCdnu8457jbdEbm_PIig
